Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
88,84,15,19,4,2,30,32,24,25,21,26,13,16,13,14,4,9,22,17,7,4,14,13,27,56,28,59
104,111,20,25,5,3,18,28,20,18,16,25,14,18,15,14,5,7,16,12,6,7,11,13,36,72,36,68
88,98,12,19,3,3,26,35,28,35,52,30,38,25,10,10,10,8,9,13,2,5,12,16,22,58,29,62
89,70,19,20,7,5,35,19,21,20,19,17,17,9,14,10,10,8,14,23,4,7,20,19,30,59,20,52
82,103,22,19,2,4,24,37,17,20,15,22,8,17,9,4,6,5,11,15,4,6,15,16,31,68,34,56
101,85,23,18,2,3,36,29,24,27,31,25,25,19,3,14,5,7,14,14,6,2,16,11,29,53,30,76
102,90,23,20,4,1,29,23,19,21,26,18,20,14,8,14,6,8,25,16,10,6,14,11,26,44,29,66
84,99,18,23,6,6,23,30,28,26,29,32,21,23,7,9,7,4,15,15,5,6,12,16,24,53,29,54
85,81,17,17,6,1,32,29,16,23,24,14,19,10,9,13,10,8,14,20,6,7,15,15,24,56,25,64
81,84,19,20,6,2,30,21,22,23,23,18,16,13,13,9,0,10,5,16,1,7,15,6,31,60,25,58
86,84,24,17,7,1,34,36,20,19,27,19,19,15,11,8,5,9,29,12,9,3,12,10,20,46,30,64
137,96,31,20,2,1,28,23,27,33,41,37,33,27,13,15,10,6,17,23,8,7,12,17,40,65,24,55
103,102,17,19,7,9,31,31,32,30,39,47,28,31,22,10,6,18,13,12,5,5,21,17,30,76,28,61
103,98,21,24,6,4,27,26,25,27,26,31,19,22,6,13,5,6,19,18,10,6,16,14,27,49,29,58
