Date,Team,O.Team,Points,O.Points,Assists,O.Assists,BiggestLead,O.BiggestLead,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,FastBreakPoints,O.FastBreakPoints,FieldGoalsAttempted,O.FieldGoalsAttempted,FieldGoalsMade,O.FieldGoalsMade,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,MarginAtTheHalf,O.MarginAtTheHalf,OffensiveRebounds,O.OffensiveRebounds,Rebounds,O.Rebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,Playoffs
20051108,Bucks,Warriors,103,110,30,23,4,13,3,3,27,33,24,4,94,78,45,39,27,19,11,26,7,19,0,0,15,7,42,40,11,2,15,27,6,13,15,17,0
20051108,Grizzlies,Supersonics,94,69,25,14,26,3,5,1,33,33,9,4,75,70,37,23,21,21,23,26,12,18,4,-4,10,12,43,45,9,8,17,24,8,5,14,19,0
20051108,Hawks,Lakers,97,103,11,21,10,16,1,4,31,26,7,10,75,73,37,38,25,24,26,33,19,20,3,-3,9,6,40,32,5,15,15,18,4,7,22,14,0
20051108,Kings,Pistons,88,102,24,26,8,25,3,4,22,31,8,21,78,77,36,39,16,16,16,23,14,19,-7,7,10,13,32,44,6,12,6,14,2,5,14,14,0
20051108,Rockets,Magic,74,76,17,11,6,5,9,7,29,31,3,4,70,74,26,28,21,19,19,22,18,15,1,-1,7,10,36,41,9,4,16,13,4,5,12,15,0
20051109,Hornets,Spurs,86,94,16,16,2,12,5,5,26,34,14,9,90,75,37,37,23,20,19,20,11,16,-5,5,12,10,38,44,14,6,7,13,1,4,12,20,0
20051109,Bulls,Warriors,85,84,17,20,3,11,2,4,38,28,9,4,67,89,31,30,20,25,26,20,17,15,-10,10,7,14,45,42,7,9,12,31,6,9,26,15,0
20051109,Cavaliers,Supersonics,112,85,18,19,29,0,6,0,35,12,21,1,76,83,38,34,16,29,33,13,31,7,22,-22,21,9,56,21,3,10,14,27,5,10,19,9,0
20051109,Celtics,Grizzlies,99,98,26,25,3,18,3,3,28,21,18,7,61,74,36,38,24,24,26,26,20,12,-12,12,4,12,32,33,13,12,9,23,7,10,18,16,0
20051109,Pelicans,Magic,83,88,15,15,8,12,3,3,25,33,14,4,77,63,34,28,25,24,18,33,15,28,-1,1,8,10,33,43,11,2,8,6,0,4,13,20,0
